Category,Type,People,Key,Value
Shopping,Note,,MSFT stock,buy at 250
Other,Reminder,,,
Shopping,Note,,MSFT stock,buy at 250 price
Health,Doubt,pediatrician,brushing teeth,when to start
Other,Note,Daguiani,maid,the maid is called Daguiani
Work,Note,daguiani,charges,190 plus transportation costs
Shopping,List,,baby cream,purchase
Shopping,List,,diapers,purchase
Health,Reminder,pediatrician,ultrasound,schedule
Work,Doubt,hr,access building,new way
Other,Document,,vin number,aaa-bbbb-ccc
Shopping,List,,diapers,buy
Shopping,List,,baby cream,buy
Shopping,List,,baby food,buy
Friends,Note,friend,baby name,Vitorio
Friends,Note,Domingos,kids,Vitorio
Friends,Note,Domingos,kids,Valentino
Shopping,List,,coffee,buy
Shopping,List,,bread,buy
Shopping,List,,cheese,buy
Shopping,List,,coffee,buy
Shopping,List,,bread,buy
Shopping,List,,butter,buy
Work,Document,,source code,updated source code for gpt-3 tutorial
